19-04-2017 15:07:25 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 15:11:09 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 17:59:02 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 17:59:32 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 17:59:34 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 18:01:48 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 18:01:49 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 18:02:00 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 18:02:01 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 18:02:33 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
19-04-2017 18:06:56 | URL protect | IP: ::1 ] | DNS: DESKTOP-3U8R16Q | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36
